day,sales
11/12/2014,0
12/12/2014,0
13/12/2014,0
14/12/2014,0
15/12/2014,1
16/12/2014,0
17/12/2014,0
18/12/2014,0
19/12/2014,0
20/12/2014,0
21/12/2014,4
22/12/2014,0
23/12/2014,0
24/12/2014,0
25/12/2014,0
26/12/2014,0
27/12/2014,0
28/12/2014,0
29/12/2014,0
30/12/2014,0
31/12/2014,0
01/01/2015,0
02/01/2015,0
03/01/2015,0
04/01/2015,14
05/01/2015,1
06/01/2015,0
07/01/2015,1
08/01/2015,1
09/01/2015,0
10/01/2015,2
11/01/2015,0
12/01/2015,12
13/01/2015,4
14/01/2015,2
15/01/2015,1
16/01/2015,0
17/01/2015,2
18/01/2015,7
19/01/2015,5
20/01/2015,6
21/01/2015,1
22/01/2015,2
23/01/2015,20
24/01/2015,7
25/01/2015,6
26/01/2015,15
27/01/2015,3
28/01/2015,9
29/01/2015,12
30/01/2015,7
31/01/2015,18
01/02/2015,10
02/02/2015,9
03/02/2015,3
04/02/2015,8
05/02/2015,7
06/02/2015,20
07/02/2015,12
08/02/2015,10
09/02/2015,5
10/02/2015,9
11/02/2015,16
12/02/2015,11
13/02/2015,14
14/02/2015,8
15/02/2015,16
16/02/2015,8
17/02/2015,21
18/02/2015,15
19/02/2015,10
20/02/2015,21
21/02/2015,8
22/02/2015,11
23/02/2015,19
24/02/2015,16
25/02/2015,10
26/02/2015,17
27/02/2015,12
28/02/2015,12
01/03/2015,14
02/03/2015,5
03/03/2015,18
04/03/2015,16
05/03/2015,19
06/03/2015,19
07/03/2015,13
08/03/2015,15
09/03/2015,18
10/03/2015,24
11/03/2015,17
12/03/2015,23
13/03/2015,20
14/03/2015,13
15/03/2015,17
16/03/2015,18
17/03/2015,21
18/03/2015,19
19/03/2015,22
20/03/2015,20
21/03/2015,29
22/03/2015,22
23/03/2015,24
24/03/2015,19
25/03/2015,20
26/03/2015,19
27/03/2015,30
28/03/2015,20
29/03/2015,17
30/03/2015,23
31/03/2015,37
01/04/2015,27
02/04/2015,39
03/04/2015,19
04/04/2015,28
05/04/2015,19
06/04/2015,25
07/04/2015,27
08/04/2015,29
09/04/2015,27
10/04/2015,38
11/04/2015,15
12/04/2015,29
13/04/2015,34
14/04/2015,28
15/04/2015,47
16/04/2015,33
17/04/2015,23
18/04/2015,50
19/04/2015,30
20/04/2015,30
21/04/2015,45
22/04/2015,34
23/04/2015,30
24/04/2015,38
25/04/2015,21
26/04/2015,39
27/04/2015,44
28/04/2015,55
29/04/2015,34
30/04/2015,23
01/05/2015,50
02/05/2015,43
03/05/2015,57
04/05/2015,44
05/05/2015,52
06/05/2015,52
07/05/2015,46
08/05/2015,47
09/05/2015,42
10/05/2015,45
11/05/2015,45
12/05/2015,51
13/05/2015,41
14/05/2015,42
15/05/2015,43
16/05/2015,34
17/05/2015,37
18/05/2015,66
19/05/2015,56
20/05/2015,60
21/05/2015,61
22/05/2015,62
23/05/2015,43
24/05/2015,46
25/05/2015,86
26/05/2015,61
27/05/2015,54
28/05/2015,59
29/05/2015,62
30/05/2015,46
31/05/2015,43
01/06/2015,83
02/06/2015,59
03/06/2015,59
04/06/2015,64
05/06/2015,42
06/06/2015,33
07/06/2015,43
08/06/2015,61
09/06/2015,58
10/06/2015,67
11/06/2015,62
12/06/2015,51
13/06/2015,51
14/06/2015,34
15/06/2015,56
16/06/2015,61
17/06/2015,59
18/06/2015,49
19/06/2015,73
20/06/2015,40
21/06/2015,64
22/06/2015,73
23/06/2015,60
24/06/2015,82
25/06/2015,59
26/06/2015,60
27/06/2015,63
28/06/2015,59
29/06/2015,54
30/06/2015,58
01/07/2015,90
02/07/2015,75
03/07/2015,50
04/07/2015,45
05/07/2015,53
06/07/2015,68
07/07/2015,81
08/07/2015,77
09/07/2015,72
10/07/2015,60
11/07/2015,62
12/07/2015,59
13/07/2015,103
14/07/2015,96
15/07/2015,66
16/07/2015,65
17/07/2015,61
18/07/2015,56
19/07/2015,58
20/07/2015,66
21/07/2015,85
22/07/2015,78
23/07/2015,91
24/07/2015,69
25/07/2015,83
26/07/2015,68
27/07/2015,80
28/07/2015,81
29/07/2015,83
30/07/2015,72
31/07/2015,73
01/08/2015,66
02/08/2015,90
03/08/2015,90
04/08/2015,98
05/08/2015,94
06/08/2015,84
07/08/2015,76
08/08/2015,66
09/08/2015,89
10/08/2015,110
11/08/2015,105
12/08/2015,100
13/08/2015,89
14/08/2015,84
15/08/2015,101
16/08/2015,81
17/08/2015,93
18/08/2015,96
19/08/2015,92
20/08/2015,133
21/08/2015,91
22/08/2015,84
23/08/2015,97
24/08/2015,97
25/08/2015,120
26/08/2015,128
27/08/2015,120
28/08/2015,103
29/08/2015,93
30/08/2015,112
31/08/2015,94
01/09/2015,109
02/09/2015,118
03/09/2015,148
04/09/2015,134
05/09/2015,119
06/09/2015,94
07/09/2015,130
08/09/2015,141
09/09/2015,151
10/09/2015,126
11/09/2015,115
12/09/2015,112
13/09/2015,141
14/09/2015,129
15/09/2015,147
16/09/2015,177
17/09/2015,186
18/09/2015,120
19/09/2015,148
20/09/2015,147
21/09/2015,145
22/09/2015,168
23/09/2015,176
24/09/2015,127
25/09/2015,118
26/09/2015,130
27/09/2015,169
28/09/2015,155
29/09/2015,187
30/09/2015,190
01/10/2015,181
02/10/2015,190
03/10/2015,153
04/10/2015,217
05/10/2015,248
06/10/2015,220
07/10/2015,261
08/10/2015,226
09/10/2015,240
10/10/2015,245
11/10/2015,249
12/10/2015,283
13/10/2015,274
14/10/2015,286
15/10/2015,357
16/10/2015,264
17/10/2015,259
18/10/2015,286
19/10/2015,272
20/10/2015,347
21/10/2015,327
22/10/2015,314
23/10/2015,275
24/10/2015,303
25/10/2015,272
26/10/2015,290
27/10/2015,456
28/10/2015,350
29/10/2015,414
30/10/2015,290
31/10/2015,325
01/11/2015,366
02/11/2015,377
03/11/2015,353
04/11/2015,410
05/11/2015,417
06/11/2015,367
07/11/2015,384
08/11/2015,391
09/11/2015,422
10/11/2015,386
11/11/2015,426
12/11/2015,407
13/11/2015,384
14/11/2015,351
15/11/2015,407
16/11/2015,426
17/11/2015,435
18/11/2015,457
19/11/2015,501
20/11/2015,482
21/11/2015,435
22/11/2015,531
23/11/2015,544
24/11/2015,572
25/11/2015,549
26/11/2015,573
27/11/2015,591
28/11/2015,664
29/11/2015,834
30/11/2015,759
01/12/2015,809
02/12/2015,782
03/12/2015,801
04/12/2015,849
05/12/2015,977
06/12/2015,1043
07/12/2015,1053
08/12/2015,1098
09/12/2015,1020
10/12/2015,1031
11/12/2015,975
12/12/2015,925
13/12/2015,1013
14/12/2015,961
15/12/2015,1076
16/12/2015,986
17/12/2015,845
18/12/2015,876
19/12/2015,978
20/12/2015,1023
21/12/2015,990
22/12/2015,934
23/12/2015,835
24/12/2015,557
25/12/2015,536
26/12/2015,616
27/12/2015,654
28/12/2015,721
29/12/2015,725
30/12/2015,632
31/12/2015,476
01/01/2016,579
02/01/2016,604
03/01/2016,617
04/01/2016,642
05/01/2016,601
06/01/2016,610
07/01/2016,744
08/01/2016,655
09/01/2016,768
10/01/2016,802
11/01/2016,711
12/01/2016,739
13/01/2016,766
14/01/2016,728
15/01/2016,628
16/01/2016,538
17/01/2016,577
18/01/2016,614
19/01/2016,625
20/01/2016,582
21/01/2016,578
22/01/2016,580
23/01/2016,626
24/01/2016,597
25/01/2016,575
26/01/2016,527
27/01/2016,557
28/01/2016,524
29/01/2016,533
30/01/2016,550
